,original_glcm_InverseVariance,original_glrlm_GrayLevelNonUniformityNormalized,original_shape_Elongation,original_shape_SurfaceVolumeRatio,original_glcm_Correlation,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_shape_MajorAxisLength,original_shape_Maximum3DDiameter,original_gldm_GrayLevelNonUniformity,original_glcm_Idmn,original_shape_LeastAxisLength,original_glszm_ZoneEntropy,original_glrlm_GrayLevelNonUniformity,original_shape_MeshVolume,original_glrlm_RunPercentage,original_firstorder_Uniformity,original_glcm_JointEntropy,original_glcm_Imc1,original_shape_Maximum2DDiameterSlice,original_glcm_JointEnergy,original_shape_MinorAxisLength,original_glszm_GrayLevelNonUniformityNormalized,original_glcm_Idn,original_shape_SurfaceArea,original_glcm_MaximumProbability,original_shape_Sphericity,original_glrlm_LongRunEmphasis,original_glcm_Id,original_glrlm_RunEntropy,original_glrlm_RunVariance,original_shape_Flatness,original_glcm_Idm,original_glcm_SumEntropy,original_shape_VoxelVolume,original_glcm_MCC,original_firstorder_Kurtosis,original_gldm_DependenceNonUniformity,original_shape_Maximum2DDiameterColumn,original_ngtdm_Coarseness,original_glszm_LargeAreaHighGrayLevelEmphasis,original_firstorder_Entropy,original_shape_Maximum2DDiameterRow,original_ngtdm_Busyness,original_glszm_GrayLevelNonUniformity,original_gldm_LargeDependenceEmphasis,original_glcm_Imc2,original_gldm_DependenceEntropy,original_glrlm_RunLengthNonUniformityNormalized
Patient 2,0.204010703,0.032472975,0.452157584,0.372273285,0.733067894,2617.960501,0.953179883,66.42807876,75.15696508,103.4603678,0.987764175,19.72649914,6.965602782,95.99289935,13461.9466,0.937246964,0.032802907,9.307638479,-0.160395791,57.32874759,0.002143804,30.03595962,0.029615302,0.924284165,5011.523086,0.007254267,0.546075843,1.217338939,0.292092137,5.467561956,0.076836174,0.296960254,0.201022088,5.918543775,13659.17604,0.754874986,2.993784125,686.1230184,40.32397302,0.003636655,5195.291997,5.125138546,75.13928733,0.293159821,41.07642394,9.463538364,0.884326678,7.390261548,0.884785912
Patient 20,0.180072925,0.029322001,0.619835278,0.22216945,0.71905956,8179.401395,0.956272632,65.98895845,82.69740383,286.6708081,0.986688548,28.94308874,7.280873196,268.8825045,42002.83247,0.94157511,0.029435343,9.895757936,-0.126783957,68.78908998,0.001414936,40.9022844,0.027938367,0.920868687,9331.746191,0.003811455,0.626191149,1.19829943,0.267576526,5.626167283,0.069364494,0.438605025,0.176302453,6.164546259,42177.14503,0.72650809,3.024294716,2243.103912,67.2066217,0.0012401,9427.322433,5.292048319,54.79322038,0.509473143,122.1744798,8.313892597,0.844591109,7.554970986,0.891546501
Patient 21,0.203682998,0.030758907,0.844538336,0.207174161,0.727661818,9277.726938,0.947405966,57.32339476,71.97885106,357.2788504,0.988146396,29.67774314,7.317855382,327.1957006,49367.26774,0.929239102,0.031211571,9.673881636,-0.131991145,70.37372805,0.001867228,48.41180444,0.027199716,0.928125084,10227.62227,0.006331256,0.636310132,1.249000809,0.291256782,5.619534441,0.089024631,0.517724801,0.202278255,6.064027335,49574.06091,0.735025937,3.333079078,2271.000524,67.00866362,0.001093636,11987.99076,5.224955227,67.5418189,0.751384469,123.5955106,11.0401852,0.844339963,7.645270921,0.871511959
Patient 22,0.259725118,0.048409353,0.522921037,0.286922794,0.688497068,3675.043908,0.934131355,55.08817254,73.27751975,243.0488722,0.984027994,20.89998697,6.77924304,211.0702913,20583.49915,0.910497397,0.050762087,8.420304093,-0.126285986,71.57166478,0.005084495,28.8067643,0.036600965,0.917168061,5905.875078,0.01703245,0.61500598,1.32906213,0.345256568,5.09811056,0.120692243,0.379391546,0.25846086,5.342152204,20735.61664,0.706237531,3.296251753,785.2121972,40.32397302,0.002272954,20197.3676,4.613688694,44.49034165,0.970781165,58.74454829,15.63032581,0.805845918,7.140154398,0.842252648
Patient 23,0.2212278,0.036501649,0.738871502,0.24538181,0.74765482,10652.17282,0.945098854,69.07481746,81.66283733,492.2362211,0.991713242,30.20279038,7.324913906,448.6745223,57104.14726,0.926742412,0.03711349,9.296095254,-0.133723302,63.92426926,0.002459057,51.03741416,0.030082737,0.93786143,14012.319,0.007112461,0.511783024,1.256187867,0.308437866,5.443943878,0.090390395,0.437247487,0.217439498,5.867079157,57438.69746,0.758552235,3.98031961,2582.477192,71.44161882,0.000897493,14068.10352,5.031413363,72.40209735,0.796885031,147.9168192,11.22227249,0.844761397,7.506716925,0.866064072
Patient 24,0.249098661,0.040799092,0.647177468,0.1960429,0.759854716,9734.242944,0.932161957,67.98715726,79.63680242,532.6431984,0.991922434,30.66754423,7.270969683,473.5296723,55099.73319,0.908865823,0.041713775,8.907313586,-0.145456735,58.43044155,0.003234181,43.99975628,0.031701,0.938964098,10801.91147,0.008927218,0.648260921,1.336360945,0.338618802,5.35990676,0.122661758,0.45107849,0.249743873,5.697581404,55299.30844,0.768735122,4.209293729,2085.946354,68.71179884,0.000921605,35676.54028,4.86768671,71.01264817,1.079756955,121.985447,15.50371995,0.852169692,7.556723443,0.837814903
Patient 25,0.212249617,0.027331275,0.938945742,0.204231765,0.825478172,11498.55626,0.944999257,50.7777384,73.71133224,401.0534431,0.989302494,45.68432983,7.44816746,362.6134799,61826.46596,0.925561775,0.027981123,9.777394049,-0.165632742,65.70740065,0.001885911,47.67754128,0.024227044,0.931300348,12626.92828,0.007450407,0.598828819,1.265042867,0.299765283,5.800089015,0.095957492,0.899692095,0.210927215,6.247709557,62072.59675,0.83017744,2.75483194,2754.99093,67.06811239,0.000992808,22641.81215,5.388428754,72.89581607,0.955046241,133.6121487,11.96197586,0.901881909,7.849644656,0.866114986
Patient 26,0.23214353,0.038809885,0.472411157,0.25152643,0.749508998,8513.764872,0.941170073,84.60998982,102.3011686,422.6115964,0.9896661,29.89889299,7.214263032,384.9419829,46377.78918,0.921604506,0.039268872,9.04471993,-0.136299951,68.07079844,0.002700849,39.97070321,0.033492203,0.929793054,11665.23973,0.006940882,0.535135568,1.278632202,0.321052148,5.334371814,0.098801495,0.353373083,0.229699146,5.738741458,46607.49921,0.76443508,3.519776014,1986.606021,60.11142986,0.00105875,11335.78998,4.9042748,93.53700711,1.094901434,122.9498774,12.1860249,0.840712728,7.454543679,0.85750002
Patient 28,0.220622405,0.03051028,0.589635336,0.227324401,0.799711137,5868.732839,0.946148284,56.37467449,65.13884632,223.5147726,0.989548107,27.94224824,7.325571327,206.0444372,31356.05186,0.928045158,0.030715236,9.504976438,-0.168981866,43.31017663,0.001872051,33.24050012,0.028691472,0.929993009,7127.995705,0.005543964,0.674627869,1.252358241,0.305946168,5.594136706,0.089722174,0.495652498,0.214596135,6.100178225,31514.84592,0.805879528,2.819025527,1450.826577,51.54512586,0.001848321,11573.00074,5.20207524,61.61744964,0.475020315,77.95472948,10.96097293,0.900727104,7.635706855,0.868421107
Patient 29,0.16637557,0.026701594,0.80641103,0.213118908,0.715751801,6704.840957,0.961589923,46.88722805,62.83433297,209.2932446,0.985874746,28.80858254,7.201597636,198.0148833,33686.89599,0.948813086,0.026777539,10.07642338,-0.127908198,57.62920267,0.00120142,37.81037785,0.02580757,0.918127049,7179.314496,0.003224922,0.702600536,1.17063064,0.251106271,5.689078777,0.059155736,0.614422813,0.160112729,6.260264782,33849.11855,0.730026292,2.689542233,1967.499232,51.15707673,0.001466456,6186.473492,5.391086948,53.06895514,0.412064145,98.81718464,7.037615148,0.853656453,7.50092434,0.903825283
Patient 3,0.202771451,0.038386818,0.75593332,0.213355721,0.667112747,9180.248856,0.948330587,53.08238969,66.43124942,436.9069149,0.98825666,37.13466667,7.149176399,403.2384036,48658.64926,0.93125341,0.038732883,9.293747117,-0.10679626,57.60614637,0.002266961,40.12674708,0.034322392,0.925807238,10381.6012,0.005916629,0.620859239,1.238324196,0.292149285,5.308336882,0.083719299,0.699566596,0.200485211,5.768314966,48850.82616,0.674636864,3.757217174,2313.923227,65.07763518,0.000951439,8283.022789,4.922044413,64.04883762,0.831581937,150.6066545,10.24148936,0.783034961,7.32971913,0.873334248
Patient 30,0.198327699,0.023873284,0.869988811,0.20633805,0.868966622,10623.65079,0.949570389,58.25187838,83.46491359,313.1880145,0.987808511,32.34869444,7.476346471,289.2555016,56087.68484,0.932077615,0.024093239,10.04837837,-0.184284279,73.6572454,0.001373673,50.67848239,0.022963034,0.926747545,11573.02352,0.004907976,0.612278436,1.237428844,0.286645628,5.90382767,0.084992928,0.555324486,0.196464781,6.437687639,56295.38025,0.878271629,2.02785439,2675.465574,59.3328956,0.001128997,33921.55066,5.530357093,75.13928733,0.77175062,121.93371,10.4781137,0.926966633,7.914401428,0.876287101
Patient 31,0.244308056,0.044068567,0.550573495,0.187400333,0.682917553,10583.38992,0.932631525,69.97748175,76.21012662,611.2848056,0.985315819,35.67215936,7.133688844,554.8882703,59732.54979,0.910287919,0.044187134,8.801419454,-0.117081521,47.46631648,0.003019422,38.52774671,0.041920664,0.917773959,11193.89974,0.007822317,0.660151196,1.328802181,0.335050435,5.154779923,0.117599372,0.509766263,0.245155252,5.547906404,59911.554,0.687611774,2.655882738,2342.241579,75.13928733,0.000775839,25315.64291,4.683567757,75.2629444,1.754327242,165.2931778,14.5333237,0.789451952,7.410794988,0.839067801
Patient 32,0.25952221,0.041358244,0.842327965,0.174238225,0.748351764,12553.12309,0.928134624,60.22006787,72.91403774,695.18911,0.988905891,38.75023769,7.184709243,625.41507,72252.73937,0.903840407,0.04155096,8.833717948,-0.140652168,62.70735204,0.002955201,50.72504725,0.039772431,0.928402642,12589.18909,0.007791425,0.666380959,1.356184548,0.348088428,5.253067551,0.128951874,0.643477151,0.259668789,5.649118607,72457.72806,0.750492035,2.617793019,2684.488255,68.07079844,0.000737773,35371.70591,4.75255898,68.07079844,1.64121475,177.7032229,16.28348575,0.842289871,7.557202301,0.829125107
Patient 33,0.18765158,0.026069369,0.631225043,0.170363741,0.778539735,12979.32775,0.952930887,65.55274398,82.9380136,412.1397383,0.990840247,39.25478607,7.457160819,382.5428434,67653.12516,0.936698667,0.026309591,10.06256987,-0.150487883,50.63505209,0.001358552,41.37853364,0.024190376,0.93528755,11525.63948,0.004911849,0.696644163,1.219394133,0.274016419,5.805233202,0.078152144,0.598827504,0.183749595,6.348183832,67841.15176,0.792279662,2.955763606,3398.725758,75.84318361,0.000810923,12019.81545,5.445789011,70.10895093,0.675654159,160.0435308,9.368209384,0.885964243,7.779006534,0.883982199
Patient 34,0.218097902,0.031802038,0.720305723,0.189689495,0.764988557,17832.25636,0.943600761,76.8185022,89.70925315,709.893396,0.987829322,37.16834637,7.274416651,656.7256042,96353.16597,0.924623306,0.0317839,9.488026501,-0.13935622,72.01575383,0.001804422,55.33280673,0.032032286,0.924783195,18277.1834,0.004271178,0.556099085,1.266322754,0.306357907,5.513502064,0.094724974,0.483846278,0.215319045,6.004103036,96727.23425,0.770487498,2.353254025,4274.840788,86.08190344,0.000554757,17178.84697,5.105381017,87.18595586,1.736443244,256.8348715,11.72397582,0.856097997,7.653846465,0.862796981
Patient 35,0.236200904,0.041570928,0.870004732,0.195840109,0.707409739,11860.41003,0.939354183,62.2440823,80.0859326,636.11711,0.993683811,32.5123432,7.170803525,577.3131891,65262.91371,0.918842438,0.042087939,8.976988982,-0.120655486,75.0862291,0.002929943,54.15264615,0.036135783,0.945693972,12781.09611,0.007932268,0.613329231,1.290957538,0.322155265,5.246016941,0.104372546,0.522336293,0.231911553,5.643453308,65454.91016,0.734190527,5.27826274,2737.656742,64.29725033,0.000703677,16632.77417,4.801708283,67.2066217,1.10137298,176.812385,12.83882493,0.809609112,7.380922647,0.853327305
Patient 36,0.23735243,0.042876524,0.635066075,0.188948514,0.680462708,13721.2517,0.938045655,74.06691023,97.54157524,760.6177575,0.986683466,35.04152938,7.1436431,690.9574345,75831.01907,0.917214658,0.043290709,8.897539472,-0.110711347,71.2927044,0.002942821,47.03738198,0.037822454,0.921404001,14328.15839,0.006971646,0.604679176,1.297737513,0.325110532,5.190391357,0.106555952,0.473106402,0.234166108,5.578896966,76091.22479,0.684091095,3.010639838,3142.27934,73.63920763,0.000605769,22064.64918,4.740854881,95.50464753,1.937731477,209.8011538,13.08708025,0.781993214,7.366444023,0.850572158
Patient 37,0.242001785,0.041273094,0.820510403,0.224927526,0.716858896,9803.74207,0.938174524,59.09257523,78.01895859,520.063043,0.98861623,35.7746392,7.15941834,475.1731825,54115.75138,0.917608255,0.041449194,8.920858447,-0.127282712,78.00192946,0.002785402,48.48607271,0.038017696,0.926461168,12172.12207,0.006724535,0.568416863,1.294644788,0.329281047,5.225258869,0.10478734,0.605399901,0.238254813,5.650659428,54337.88261,0.720541973,2.756257041,2249.519965,57.02670953,0.0009221,15794.80131,4.782321248,77.04229098,1.320799925,150.96827,12.90053399,0.822354814,7.403266461,0.850740078
Patient 38,0.232457519,0.041780181,0.442143572,0.273733389,0.673454866,4462.618909,0.940296864,66.26649725,69.63363052,239.2763855,0.985547561,24.63604672,6.890143237,217.8447759,24369.47426,0.920225909,0.042230213,8.881242502,-0.122337571,47.60604688,0.002953699,29.29930579,0.037804698,0.91825544,6670.73877,0.009427526,0.609360498,1.282440674,0.322939519,5.215263448,0.100076821,0.371772279,0.232382238,5.594949985,24538.0125,0.689003313,3.013964892,1027.255912,52.18546254,0.001997263,12300.06102,4.787953199,57.81332199,0.638224022,74.9667171,12.85739499,0.812771599,7.324008295,0.855337956
Patient 39,0.23680388,0.036064888,0.931500685,0.180630285,0.765882657,11060.66248,0.937451304,54.09175018,67.14729555,521.6402645,0.989337546,34.53075734,7.237169808,469.3794397,61390.86499,0.915469027,0.036693885,9.273360068,-0.145135732,62.96105781,0.002522121,50.38650237,0.03246187,0.931169213,11089.04946,0.009143256,0.6786705,1.306277201,0.323542085,5.456707608,0.111263104,0.638373823,0.234691654,5.898014389,61565.89935,0.773836251,3.331882708,2470.761114,61.70362793,0.000874462,34869.10938,4.999169929,67.06811239,1.104620196,150.1686122,13.85945414,0.864100321,7.628315683,0.849262963
Patient 4,0.214004365,0.030480069,0.631214516,0.228310426,0.792413303,7233.533163,0.946094518,60.78697104,81.64656821,278.9351604,0.989354822,27.63052413,7.313747429,253.7232296,38634.23309,0.927353284,0.031075664,9.573471284,-0.158512165,80.20196319,0.002052228,38.36961849,0.026666697,0.930896377,8820.598204,0.00783303,0.626567141,1.256251693,0.300950825,5.668666707,0.092055333,0.454546816,0.211305805,6.106413396,38872.78507,0.797854051,3.322698412,1750.792781,48.9,0.001522847,11653.28077,5.26662263,61.37983545,0.595693249,93.17344018,11.5666221,0.888776059,7.685413794,0.868454184
Patient 40,0.2328153045925281,0.0366462242255903,0.5832425927800137,0.258585817883419,0.747262013286782,4264.310068845864,0.9422834499880486,50.35502609868674,59.31050159963242,198.437616387337,0.9881352457688836,25.15418455712597,7.034361113758186,181.60096279553,23119.33196391657,0.9228047557656496,0.0369530011894482,9.11715407277168,-0.1488898013863427,55.75457828734785,0.0024763101423579,29.36919598130331,0.0344188834622301,0.9257284222791948,5978.33136480764,0.0071614329867318,0.6564792374452764,1.272336939832988,0.3191512035145318,5.369677873708056,0.0964001077936522,0.4995367196876896,0.2287128073150146,5.818002029216786,23256.11139,0.7557957449429888,2.88330417079589,1007.57355679702,39.25559832686288,0.0023447309798862,10221.67398119122,4.957103715398943,53.81469130265452,0.5116321301954059,65.87774294670847,12.21266294227188,0.8658048262963635,7.447496307480592,0.8598862077541249
Patient 41,0.2359613887880891,0.0395020479698644,0.513005214854087,0.2115094950108324,0.7436384532401582,9222.999843319463,0.9396976807193648,81.6852621789777,83.57625320627862,471.77443544951,0.9879513101791236,27.13454942957794,7.177363294242401,426.1070892795928,50627.69556454183,0.9191766903739632,0.0402023379164473,9.0728456132632,-0.1314859351588099,53.81469130265452,0.0028459135783382,41.90496547453888,0.032886775182666,0.9262734661524348,10708.2383224184,0.0078329911506193,0.6180517913268885,1.290278383306601,0.322369068807336,5.330775651835883,0.1041865251967929,0.3321841505524508,0.2321764700862754,5.726052586579266,50821.316045,0.7632136786328765,3.224660671498252,2109.52782275245,78.05300570765996,0.0009738333376241,23095.27909371781,4.887654554388225,75.2099734077868,1.119027666194953,127.7322348094748,12.81201533873029,0.8342640467960944,7.463519650013777,0.8542198725671306
Patient 42,0.272019242664257,0.0438316534996751,0.7046123606079919,0.2506374790958543,0.7702234336376533,7479.995609912074,0.9260574369468764,65.73190562478659,85.0416474440612,451.791368337311,0.987965485735038,29.30543640536678,6.921336201283456,396.9900291544893,43219.05058208331,0.9006180772290556,0.044927542595198,8.577423937077045,-0.1483406215493319,78.40960782965311,0.0040710122613152,46.31551318954263,0.0383772120567882,0.926940977407796,10832.31388680958,0.0117847583523669,0.5498105089972782,1.372342013598704,0.3612630019127141,5.214618596099679,0.1360120305492188,0.4458327524026034,0.2749480001986533,5.522496527302241,43549.991832,0.7776433857804199,2.933803581160209,1514.533810660302,62.41005848418987,0.0011629211230048,23066.97611520899,4.694282600470622,74.23213993951678,1.849704310750275,109.2599227256762,17.56424025457438,0.8518809856940622,7.483266436442889,0.8248405517700467
Patient 43,0.222589231345872,0.0458684893520761,0.5817252535630802,0.2396699169512914,0.5944208550789165,4283.195080578558,0.9449552010543492,50.2460876136376,55.75457828734785,247.6822955738935,0.9878567832268786,25.28136515961528,6.947178073758728,226.7303304221586,22961.0792506249,0.9270154076980782,0.0464520434309627,8.836977491044125,-0.0992377974904496,34.38488766885825,0.0031225145696236,29.22941805759607,0.0383643320225316,0.9238696787915348,5503.079957109292,0.0085235794239256,0.7099152407929068,1.254450552389649,0.3097764974601113,5.089126134398651,0.0887670295512152,0.5031509190131155,0.2176474480513544,5.474213217180232,23091.543004,0.6190648611933421,3.3159100246974,1043.560015003751,49.03564519816171,0.0017550676802185,15252.88556701031,4.683660718921599,55.15569326914493,0.5093900781475963,74.42680412371134,11.04163540885221,0.7530897517009605,7.138076629168763,0.8657920435015982
Patient 44,0.211830058283256,0.0412842179565124,0.7596112967167449,0.2426813053028467,0.6333733125514774,7184.414787577277,0.948299109651804,52.1937998019301,66.73053573889543,372.0559203079013,0.9862931446895508,32.09672402387743,6.967395654208476,339.4237450730304,38043.98836487497,0.9306351334877484,0.0421163595548903,9.052118254721494,-0.0975245416616978,60.66140865492657,0.0028791479170066,39.64699994811831,0.0341137762549714,0.9208531630561072,9232.56475531417,0.0083357329778601,0.5924964995447477,1.242210445095123,0.2990667663313419,5.211670641965738,0.0861611424088914,0.6149528132782259,0.2076187155822497,5.591747623431032,38257.818998,0.6531483362781703,3.336960344903487,1782.609463436722,57.62920266670363,0.0011202965436091,9253.383212735169,4.818859672090044,59.24326881595917,1.017457046577368,117.8630969609262,10.60267149649083,0.7563102743671078,7.198646902955768,0.8733414322064619
Patient 45,0.2307821694880672,0.0309304375172293,0.9365628374063868,0.219615737561293,0.8230825403897698,4656.13738275425,0.9408150914154798,41.1208833482212,52.96873039822646,189.191460521857,0.9866701661195966,24.28177355642988,7.237963621036295,168.0226082272959,25402.53787187496,0.9203008106769544,0.0320554829755772,9.426475426637897,-0.1848626714944639,48.27112283757236,0.0025165378126359,38.51229118526709,0.02610627868285,0.9248745233565115,5578.797090660499,0.0101482574721914,0.7490801643184639,1.28415604055705,0.3148156005376537,5.674087949688502,0.1018089927013553,0.5904973721212694,0.227460794238699,6.123978952519598,25560.068794,0.8293731853648325,2.811237076193593,1071.199593358184,48.46338411625833,0.0023246351045048,16329.13531047266,5.243876041762126,51.1570767343092,0.6451600258511664,56.33734939759036,13.17790579464588,0.9168543406317694,7.681566121184487,0.8566433109826738
Patient 46,0.2358880484298233,0.0447678331706295,0.8658417204030779,0.2396398458179006,0.6566294282168372,4974.626254083191,0.938858829143796,42.21554184847791,53.71585799370609,287.5081115136242,0.9868900482155536,28.97975198555705,6.972543975709499,260.9981906546226,27337.1186463333,0.9182427275040284,0.0452839992933728,8.77791558827489,-0.1105331695454244,44.52019092501737,0.003189696327512,36.55197738183425,0.0394667408810305,0.922027078916282,6551.062897512968,0.0083142918356847,0.6698961992504677,1.293874579462703,0.3247758409527151,5.114877334768592,0.1052097503397924,0.6864711600664182,0.2345285179106929,5.50400374941125,27495.912703,0.6650865822129135,3.190114613059295,1142.289336903449,47.5222579429892,0.001655483027224,8322.25,4.675741255374318,49.89504283994553,1.002516386473582,83.03802281368822,13.03906126949126,0.78164679536558,7.24629567608532,0.8523925589362159
